Sun 2019/Jan/20 12:16:37 PM 	[ERROR] 	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'when) values (?, ?, ?)' at line 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 12:18:00 PM 	[ERROR] 	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'when) values (?, ?, ?)' at line 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 12:18:02 PM 	[ERROR] 	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'when) values (?, ?, ?)' at line 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 02:22:07 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_url' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:19:23 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:20:14 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:20:20 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:20:48 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:21:13 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:27:22 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:28:26 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:29:34 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
Sun 2019/Jan/20 03:30:17 PM 	[ERROR] 	SQLSTATE[22001]: String data, right truncated: 1406 Data too long for column 'shrink_title' at row 1	 	/var/www/html/backend/classes/model/PutData.Class.php 
